timestamp,value,value_predicted,dist
2015/9/17 7:55,43.06,9.188673004,33.871327
2015/9/16 8:19,38.28,7.423569984,30.85643002
2015/9/16 8:09,38.83,7.999036049,30.83096395
2015/9/17 8:00,36.33,6.189559809,30.14044019
2015/9/16 8:24,33.5,7.299219078,26.20078092
2015/9/16 7:59,32.17,6.702185272,25.46781473
2015/9/16 8:39,29.94,7.72562667,22.21437333
2015/9/16 8:44,27.83,7.070718995,20.759281
2015/9/16 8:34,27.17,7.32580141,19.84419859
2015/9/17 8:10,26.61,6.920381923,19.68961808
2015/9/2 7:05,25.61,6.275548322,19.33445168
2015/9/16 8:04,26,6.920381923,19.07961808
2015/9/2 7:10,25.78,8.419138992,17.36086101
2015/9/2 9:15,21.56,5.850392145,15.70960786
2015/9/16 8:29,22.5,7.009986631,15.49001337
2015/9/2 6:45,21.72,6.392671723,15.32732828
2015/9/17 8:15,22.11,7.999036049,14.11096395
2015/9/2 8:30,21.22,7.543516251,13.67648375
2015/9/14 8:08,20.72,7.070718995,13.649281
2015/9/17 8:25,20.56,7.423569984,13.13643002
2015/9/2 8:00,19.56,7.171125499,12.3888745
2015/9/16 17:00,19,6.702185272,12.29781473
2015/9/2 8:45,18.83,6.886352573,11.94364743
2015/9/17 7:50,19,7.070718995,11.929281
2015/9/2 8:55,18.61,6.939127757,11.67087224
2015/9/2 17:20,18.5,6.900132324,11.59986768
2015/9/2 8:05,18,6.534095192,11.46590481
2015/9/2 9:10,20.17,8.838206129,11.33179387
2015/9/2 11:15,18.33,7.149699634,11.18030037
2015/9/2 8:35,17.39,6.435005156,10.95499484
2015/9/3 8:06,17.61,6.7012851,10.9087149
2015/9/2 6:30,16.78,5.907882903,10.8721171
2015/9/2 13:15,17.61,6.784403671,10.82559633
2015/9/3 9:16,18.5,7.724934098,10.7750659
2015/9/10 16:27,17.22,6.702185272,10.51781473
2015/9/2 16:40,17.72,7.272899635,10.44710037
2015/9/10 8:43,17.78,7.423569984,10.35643002
2015/9/2 8:50,16.89,6.610431128,10.27956887
2015/9/14 14:40,17.33,7.070718995,10.259281
2015/9/16 7:54,16.44,6.189559809,10.25044019
2015/9/17 13:25,16.94,6.87583879,10.06416121
2015/9/11 11:49,17.06,7.009986631,10.05001337
2015/9/3 10:06,17.28,7.298703407,9.981296593
2015/9/17 7:25,17.39,7.423569984,9.966430016
2015/9/11 11:44,17.11,7.299219078,9.810780922
2015/9/17 8:30,17.06,7.299219078,9.760780922
2015/9/10 9:23,15.94,6.189559809,9.750440191
2015/9/11 14:14,16.94,7.32580141,9.61419859
2015/9/2 8:20,15.72,6.215809059,9.504190941
2015/9/14 8:13,18.61,9.188673004,9.421326996
2015/9/3 11:36,16.72,7.325475486,9.394524514
2015/9/2 7:00,16.17,6.903965262,9.266034738
2015/9/9 11:53,16.94,7.72562667,9.21437333
2015/9/3 16:11,16.06,6.87576172,9.18423828
2015/9/17 14:05,15.33,6.189559809,9.140440191
2015/9/2 8:40,16.11,6.996949026,9.113050974
2015/9/16 10:24,16.33,7.299219078,9.030780922
2015/9/16 15:30,16,7.009986631,8.990013369
2015/9/2 6:05,14.06,5.08602584,8.97397416
