,timestamp,value,Datetime,scaled_value,dist
0,2014-02-14 14:30:00,0.132,2014-02-14 14:30:00,0.02897278314310799,0.47105046266835443
1,2014-02-14 14:35:00,0.134,2014-02-14 14:35:00,0.029850746268656716,0.4702326406293841
2,2014-02-14 14:40:00,0.134,2014-02-14 14:40:00,0.029850746268656716,0.4703088749700518
3,2014-02-14 14:45:00,0.134,2014-02-14 14:45:00,0.029850746268656716,0.4703878511243792
4,2014-02-14 14:50:00,0.134,2014-02-14 14:50:00,0.029850746268656716,0.47046188009319023
5,2014-02-14 14:55:00,0.134,2014-02-14 14:55:00,0.029850746268656716,0.4705270875745745
6,2014-02-14 15:00:00,0.134,2014-02-14 15:00:00,0.029850746268656716,0.47058198345241264
7,2014-02-14 15:05:00,0.134,2014-02-14 15:05:00,0.029850746268656716,0.47062632930812554
8,2014-02-14 15:10:00,0.066,2014-02-14 15:10:00,0.0,0.5004871487617493
9,2014-02-14 15:15:00,0.132,2014-02-14 15:15:00,0.02897278314310799,0.4715042328290295
10,2014-02-14 15:20:00,0.134,2014-02-14 15:20:00,0.029850746268656716,0.4706285346799822
11,2014-02-14 15:25:00,0.066,2014-02-14 15:25:00,0.0,0.5004650354385376
12,2014-02-14 15:30:00,0.132,2014-02-14 15:30:00,0.02897278314310799,0.47146918529790155
13,2014-02-14 15:35:00,0.2019999999999999,2014-02-14 15:35:00,0.05970149253731338,0.4407637813198033
14,2014-02-14 15:40:00,0.068,2014-02-14 15:40:00,0.0008779631255487266,0.49960799354330504
15,2014-02-14 15:45:00,0.134,2014-02-14 15:45:00,0.029850746268656716,0.4706324685865374
16,2014-02-14 15:50:00,0.132,2014-02-14 15:50:00,0.02897278314310799,0.4715149020604443
17,2014-02-14 15:55:00,0.134,2014-02-14 15:55:00,0.029850746268656716,0.4706459988409014
18,2014-02-14 16:00:00,0.134,2014-02-14 16:00:00,0.029850746268656716,0.4706573833280535
19,2014-02-14 16:05:00,0.136,2014-02-14 16:05:00,0.030728709394205442,0.46979175836397324
20,2014-02-14 16:10:00,0.132,2014-02-14 16:10:00,0.02897278314310799,0.4715587114743542
21,2014-02-14 16:15:00,0.134,2014-02-14 16:15:00,0.029850746268656716,0.4706893910222979
22,2014-02-14 16:20:00,0.134,2014-02-14 16:20:00,0.029850746268656716,0.4706966031843157
23,2014-02-14 16:25:00,0.066,2014-02-14 16:25:00,0.0,0.5005284547805786
24,2014-02-14 16:30:00,0.134,2014-02-14 16:30:00,0.029850746268656716,0.47064641607341484
25,2014-02-14 16:35:00,0.134,2014-02-14 16:35:00,0.029850746268656716,0.47063383949336723
26,2014-02-14 16:40:00,0.066,2014-02-14 16:40:00,0.0,0.5004597306251526
27,2014-02-14 16:45:00,0.134,2014-02-14 16:45:00,0.029850746268656716,0.4705794204526873
28,2014-02-14 16:50:00,0.134,2014-02-14 16:50:00,0.029850746268656716,0.47057328117427544
29,2014-02-14 16:55:00,0.134,2014-02-14 16:55:00,0.029850746268656716,0.4705813278013201
30,2014-02-14 17:00:00,0.132,2014-02-14 17:00:00,0.02897278314310799,0.47147377485554925
31,2014-02-14 17:05:00,0.136,2014-02-14 17:05:00,0.030728709394205442,0.4697356107885948
32,2014-02-14 17:10:00,0.134,2014-02-14 17:10:00,0.029850746268656716,0.4706324089818926
33,2014-02-14 17:15:00,0.134,2014-02-14 17:15:00,0.029850746268656716,0.4706496347242327
34,2014-02-14 17:20:00,0.132,2014-02-14 17:20:00,0.02897278314310799,0.47154184335988275
35,2014-02-14 17:25:00,0.132,2014-02-14 17:25:00,0.02897278314310799,0.4715525721959423
36,2014-02-14 17:30:00,0.134,2014-02-14 17:30:00,0.029850746268656716,0.47068319213924126
37,2014-02-14 17:35:00,0.134,2014-02-14 17:35:00,0.029850746268656716,0.47069046390590386
38,2014-02-14 17:40:00,0.066,2014-02-14 17:40:00,0.0,0.5005226731300354
39,2014-02-14 17:45:00,0.134,2014-02-14 17:45:00,0.029850746268656716,0.4706409920507403
40,2014-02-14 17:50:00,0.134,2014-02-14 17:50:00,0.029850746268656716,0.4706288923078509
41,2014-02-14 17:55:00,0.2019999999999999,2014-02-14 17:55:00,0.05970149253731338,0.4408043124782506
42,2014-02-14 18:00:00,0.134,2014-02-14 18:00:00,0.029850746268656716,0.47069630516109184
43,2014-02-14 18:05:00,0.134,2014-02-14 18:05:00,0.029850746268656716,0.4707218755537005
44,2014-02-14 18:10:00,0.134,2014-02-14 18:10:00,0.029850746268656716,0.47073528659877495
45,2014-02-14 18:15:00,0.068,2014-02-14 18:15:00,0.0008779631255487266,0.4996897115112921
46,2014-02-14 18:20:00,0.132,2014-02-14 18:20:00,0.02897278314310799,0.47156049961369745
47,2014-02-14 18:25:00,0.134,2014-02-14 18:25:00,0.029850746268656716,0.4706641782575579
48,2014-02-14 18:30:00,0.134,2014-02-14 18:30:00,0.029850746268656716,0.470173214798543
49,2014-02-14 18:35:00,0.134,2014-02-14 18:35:00,0.029850746268656716,0.47023442876872734
50,2014-02-14 18:40:00,0.134,2014-02-14 18:40:00,0.029850746268656716,0.47031113994655327
